Regression Math Lower Upper
-0.33715740210823 -0.336687210199651 -0.338159140616957 -0.336155663599503
-0.260192178059586 -0.226220616304808 -0.261539628642156 -0.258844727477016
-0.284828298308806 -0.239172170634829 -0.286426020279673 -0.283230576337939
-0.00836760813197761 -0.00829533219034292 -0.0099499897366551 -0.00678522652730012
-0.00760207329328293 -0.00754928475083767 -0.00917465217471387 -0.00602949441185198
-0.022702484851753 -0.0222729339292768 -0.024287506444922 -0.0211174632585841
-0.0055550036048556 -0.00552456752074589 -0.0071459441005752 -0.00396406310913599
0.00220226724172619 0.00220365838835138 0.000618673736514337 0.00378586074693804
-0.0282025014339069 -0.0276218556425402 -0.029796629749399 -0.0266083731184148
0.00162169473634666 0.00162248466202311 3.54461039634086e-05 0.00320794336872991
-0.0261991324617233 -0.0256296039500743 -0.0277945261110899 -0.0246037388123568
-0.0101560402434788 -0.0100879965563078 -0.0117483815013263 -0.00856369898563136
0.0106078758486951 0.0106821667751471 0.00902161847430184 0.0121941332230884
-0.0160558490771429 -0.0158667458382429 -0.0176431369004185 -0.0144685612538673
0.00281320009298981 0.00282362391426762 0.00122394952428781 0.00440245066169181
-0.0257551760674271 -0.0252739160317329 -0.0273447028599617 -0.0241656492748924
0.0111396625698841 0.0112314835057854 0.00954756431202013 0.0127317608277481
-0.00478669846127963 -0.0047674191107944 -0.00638210850211051 -0.00319128842044875
0.065315406467295 0.0688154515798863 0.0637198012417749 0.066911011692815
0.0327167286573508 0.0335972195233185 0.0311263036539274 0.0343071536607742
