Regression Math Lower Upper
0.0396160230121215 0.040330098092924 0.0377889282157329 0.0414431178085101
-0.0156740334225856 -0.01567011066622 -0.0175450117014948 -0.0138030551436764
0.0118772560928898 0.0120479868940731 0.00999869242168217 0.0137558197640975
0.00886597089119309 0.00890346913276447 0.0070612789663647 0.0106706628160215
-0.0830365579232159 -0.0788047643150517 -0.0849915640753733 -0.0810815517710586
-0.0191970203277757 -0.0187617843349254 -0.0210172862714214 -0.01737675438413
-0.0220734867922133 -0.0219033713310293 -0.0238939994116992 -0.0202529741727274
0.00378144394606174 0.00376190891256732 0.0019202547725913 0.00564263311953218
-0.0231826219262383 -0.022797839431416 -0.0250830886653576 -0.0212821551871191
-0.0228303381617214 -0.022547354243102 -0.0246658751750509 -0.0209948011483919
0.0155754991786128 0.0158700255343562 0.0137371656211411 0.0174138327360845
0.0253948453207876 0.0258728627987645 0.0235353150212303 0.0272543756203449
0.0246421163196776 0.0250609981232674 0.0227969839775348 0.0264872486618204
-0.01310959441925 -0.0130838690650422 -0.014933456386781 -0.0112857324517191
0.016708357177269 0.0168653335019696 0.0148791386776706 0.0185375756768674
-0.00256745979863386 -0.00256960291493919 -0.00438870420835112 -0.00074621538891661
-0.0035166981646838 -0.00352108768122794 -0.00533897342654739 -0.00169442290282022
-0.00350017038021578 -0.00349424509238291 -0.00531711945697243 -0.00168322130345913
-0.00279742865382901 -0.00280307048644552 -0.00460727161781978 -0.00098758568983825
0.00846754067653272 0.00849320387295759 0.006645895415229 0.0102891859378364
