Regression Math Lower Upper
0.327805668375364 0.493383554050174 0.326907045687584 0.328704291063144
0.708193785484263 1.2591051334636 0.706824552913159 0.709563018055366
-0.332734544585573 -0.260897343759383 -0.334260972193674 -0.331208116977473
-0.783393084807131 -0.527689943014732 -0.784867332241677 -0.781918837372586
0.394440857682332 0.569618464326167 0.39292937763837 0.395952337726294
-0.704064066520483 -0.493920100672648 -0.705411730607317 -0.702716402433649
0.30882366680751 0.405318930189855 0.307517446351118 0.310129887263902
-0.0238217106549312 -0.0233977943953118 -0.0249592411033598 -0.0226841802065027
-0.0647434238916059 -0.0619830578757943 -0.0658855838428841 -0.0636012639403278
-0.0218799209556975 -0.0215764476009107 -0.0230536234821618 -0.0207062184292331
-0.0781173231435019 -0.0743660842311232 -0.07928074739601 -0.0769538988909938
-0.00968776795352245 -0.00962240250466656 -0.0108492732679824 -0.00852626263906249
-0.0168821980529903 -0.0166830177766845 -0.018038019939922 -0.0157263761660585
-0.00227430916976987 -0.00226848151183764 -0.00343128253163862 -0.00111733580790113
-0.047696573485585 -0.0462287502099081 -0.0488484362562854 -0.0465447107148846
0.00774093119926682 0.00776971791537978 0.00659335053043201 0.00888851186810163
0.0126080741762254 0.0126679167292818 0.0114513818067016 0.0137647665457492
0.00999573839358773 0.0100630481419589 0.00883497855020609 0.0111564982369694
-0.0475962952897606 -0.0461972303078935 -0.0487466389221997 -0.0464459516573214
-0.0130462369463104 -0.012890088439325 -0.0142040824416745 -0.0118883914509463
