Regression Math Lower Upper
-0.0551366391690136 -0.0586857367295485 -0.0569524680753298 -0.0533208102626973
0.0978762640786729 0.105335618816577 0.0960321552936377 0.0997203728637081
-0.142285917003277 -0.136466308745175 -0.144149485774382 -0.140422348232173
-0.1579100043003 -0.143382382219395 -0.1597741888729 -0.1560458197277
-0.00441034250939202 -0.00427767216271062 -0.00621148018907752 -0.00260920482970653
0.222153430786619 0.265078133721507 0.219970437870887 0.224336423702351
-0.129983260384724 -0.119432270855545 -0.131978180865276 -0.127988339904171
-0.0635893885388865 -0.0611860900805954 -0.065519463831708 -0.061659313246065
-0.000981436739631157 -0.000981928265131399 -0.00296726201393476 0.00100438853467244
-0.044929250556817 -0.0435940635056081 -0.0468257611066549 -0.0430327400069791
-0.114942349985788 -0.106534685531162 -0.116914725093451 -0.112969974878125
-0.00893870393749393 -0.00896580822244841 -0.0108010750225425 -0.00707633285244535
-0.0183024564151182 -0.0180673021773048 -0.0202469853517393 -0.0163579274784971
0.137553433280369 0.152078310989255 0.13558706009411 0.139519806466627
-0.0634453202343931 -0.0610806294196504 -0.065345979059129 -0.0615446614096571
0.0695327342689562 0.0731947846946071 0.0674290380416186 0.0716364304962939
-0.00500908151983075 -0.00502307071192304 -0.00691147037522107 -0.00310669266444043
0.0561406396504358 0.0583322673735492 0.05420314890773 0.0580781303931417
0.0771547246048633 0.0809943006455842 0.0752553838948701 0.0790540653148566
0.0680594898823722 0.0709856953171024 0.0661265213952587 0.0699924583694858
