Regression Math Lower Upper
0.235589115211344 0.333683236915451 0.234213320158546 0.236964910264141
0.188878575156049 0.20866255935969 0.187127418889702 0.190629731422396
0.00579805321196513 0.00588682312828087 0.0037630684190865 0.00783303800484376
0.0535600509303878 0.0564153924224501 0.0517435530868298 0.0553765487739459
0.0390375237235304 0.0402042174253111 0.0373705624407381 0.0407044850063228
-0.0743432500079512 -0.0695186838866491 -0.0764332893058548 -0.0722532107100476
-0.134388952678414 -0.121882787294709 -0.13633785726818 -0.132440048088649
-0.011357501842779 -0.011265549050976 -0.0133152570753918 -0.00939974661016615
-0.0422921697898567 -0.0412398721547501 -0.0442913027821856 -0.0402930367975278
-0.133388497548754 -0.122019729630272 -0.135182145290282 -0.131594849807227
-0.016854529294733 -0.0166822512087676 -0.0186977921894865 -0.0150112663999796
0.0171443245902856 0.0173405770634891 0.0153546825701092 0.018933966610462
-0.0846928019234745 -0.0800958221100543 -0.0865687648277506 -0.0828168390191985
-0.0845178068371549 -0.0799358949629235 -0.0863168307113019 -0.0827187829630079
-0.0635986282603231 -0.0610722385967922 -0.0653822302883502 -0.0618150262322961
-0.0315407217598804 -0.030929002965859 -0.0331685861794386 -0.0299128573403221
0.0316215419013372 0.0322911580368251 0.0299247795224619 0.0333183042802125
-0.0208039539198482 -0.0205769874712634 -0.0225516821827191 -0.0190562256569774
-0.00596637716297541 -0.00592307914706284 -0.00767774200822258 -0.00425501231772824
-0.00489432014509819 -0.00487154084148033 -0.00665250542273724 -0.00313613486745914
